Gameno,weekid,gamedatetime,awayid,homeid,gametype
255,527,'2025-12-29 20:20:00',4,8,2
256,527,'2025-12-30 20:15:00',23,30,2
257,528,'2025-1-5 13:00:00',3,1,2
258,528,'2025-1-5 13:00:00',27,25,2
259,528,'2025-1-5 13:00:00',24,21,2
260,528,'2025-1-5 13:00:00',7,6,2
261,528,'2025-1-5 13:00:00',8,5,2
262,528,'2025-1-5 13:00:00',12,10,2
263,528,'2025-1-5 13:00:00',11,9,2
264,528,'2025-1-5 13:00:00',14,13,2
265,528,'2025-1-5 13:00:00',34,36,2
266,528,'2025-1-5 13:00:00',4,2,2
267,528,'2025-1-5 13:00:00',22,23,2
268,528,'2025-1-5 13:00:00',26,28,2
269,528,'2025-1-5 13:00:00',17,20,2
270,528,'2025-1-5 13:00:00',30,31,2
271,528,'2025-1-5 13:00:00',32,35,2
272,528,'2025-1-5 13:00:00',39,18,2
